League,HomeTeam,AwayTeam
Premier League, Manchester United, Manchester City
Premier League, Chelsea, Brentford
Premier League, Leeds United, Fulham
Premier League, Liverpool, Burnley
Premier League, Sunderland, Crystal Palace
Premier League, Tottenham Hotspur, West Ham United
Premier League, Nottingham Forest, Arsenal
La Liga, Real Madrid, Levante
La Liga, Mallorca, Athletic Club
La Liga, Osasuna, Real Oviedo
La Liga, Real Betis, Villarreal
Serie A, Udinese, Inter
Serie A, Napoli, Sassuolo
Serie A, Cagliari, Juventus
Bundesliga, Borussia Dortmund, St. Pauli
Bundesliga, 1. FC Köln, Mainz 05
Bundesliga, Hamburger SV, Borussia Mönchengladbach
Bundesliga, Hoffenheim, Bayer Leverkusen
Bundesliga, Wolfsburg, FC Heidenheim
Bundesliga, RB Leipzig, Bayern München
Ligue 1, Lens, Auxerre
Ligue 1, Toulouse, Nice
Ligue 1, Angers, Marseille



